edad,raza,sexo,estado_reproductivo,peso,tamano_corporal,motivo_consulta,antecedentes_medicos_previos,masa_tumoral_previa,tiempo_evolucion_lesion,tratamientos_previos,numero_lesiones,ubicacion_anatomica_tumor,tamano_lesion,forma_tumor,consistencia,movilidad,bordes,velocidad_crecimiento,ulceracion,invasion_tejidos_cercanos,tipo_estudio_diagnostico,citologia_realizada,biopsia_realizada,histopatologia_realizada,diagnostico_citologico,diagnostico_histopatologico,tipo_tumor,grado_tumoral,indice_mitotico,pleomorfismo_celular,necrosis_tumoral,metastasis,compromiso_ganglionar,recurrencia_tumoral,progresion_enfermedad,pronostico_clinico,tipo_tratamiento,respuesta_tratamiento,seguimiento_clinico,cancer_confirmado
14.5,Beagle,F,esterilizado,13.9,pequeno,perdida de apetito,endocrinopatia,False,3.5,cirugia previa,1,bazo,2.79,lobulada,firme,semi-fija,infiltrativos,lento,True,False,citologia,False,True,True,no concluyente,no realizado,adenoma,intermedio,15.0,no aplica,False,False,False,False,regresiva,reservado,cirugia+quimio,sin tratamiento,6 meses,1
12.0,Boxer,M,esterilizado,12.2,mediano,chequeo general,ninguno,False,9.4,cirugia previa,3,mama,7.61,irregular,dura,fija,definidos,moderado,False,False,examen clinico,True,True,True,benigno,,lipoma,alto,3.8,severo,False,False,False,False,progresiva,reservado,observacion,,1 mes,0
15.4,Labrador,M,entero,11.4,pequeno,sangrado local,dermatitis,True,6.7,ninguno,2,mama,4.35,lobulada,firme,movil,infiltrativos,rapido,False,False,citologia,False,True,True,maligno,,lipoma,intermedio,,moderado,True,False,False,False,estable,desfavorable,observacion,parcial,12 meses,1
8.4,French Bulldog,F,esterilizado,32.7,mediano,cojera,endocrinopatia,False,3.9,cirugia previa,2,tejido subcutaneo,7.48,lobulada,firme,movil,definidos,moderado,False,False,imagen,True,False,True,no concluyente,inflamatorio,mastocitoma,no aplica,3.8,severo,False,False,False,False,estable,desfavorable,cirugia,sin tratamiento,3 meses,0
8.4,Boxer,M,entero,15.4,mediano,cojera,cirugia previa,False,5.3,antibioticos,2,bazo,5.09,lobulada,dura,semi-fija,irregulares,moderado,True,True,citologia,True,False,False,sospechoso,,mastocitoma,no aplica,5.0,severo,False,False,False,False,progresiva,favorable,paliativo,buena,6 meses,1
12.3,Labrador,M,esterilizado,22.7,mediano,perdida de apetito,dermatitis,False,3.7,cirugia previa,1,piel,3.79,nodular,dura,fija,infiltrativos,lento,True,False,biopsia,True,True,False,no concluyente,maligno,linfoma,no aplica,8.1,no aplica,False,False,False,False,estable,desfavorable,observacion,buena,3 meses,1
7.1,Beagle,F,esterilizado,4.4,mediano,perdida de apetito,obesidad,True,3.4,antibioticos,3,extremidad,6.05,irregular,firme,movil,infiltrativos,lento,False,False,citologia,True,True,True,maligno,no realizado,adenoma,no aplica,12.4,no aplica,False,False,False,True,estable,reservado,quimioterapia,parcial,1 mes,1
16.0,Beagle,F,entero,35.1,pequeno,chequeo general,endocrinopatia,False,12.8,antiinflamatorios,2,tejido subcutaneo,5.82,difusa,blanda,semi-fija,irregulares,moderado,False,False,citologia,True,False,True,no concluyente,benigno,lipoma,bajo,5.7,severo,True,False,False,False,estable,desfavorable,paliativo,mala,12 meses,1
1.8,Pastor Alemán,M,esterilizado,21.4,grande,chequeo general,ninguno,True,8.9,antiinflamatorios,3,mama,3.0,nodular,dura,semi-fija,definidos,lento,False,False,imagen,False,False,True,maligno,inflamatorio,lipoma,no aplica,,moderado,False,True,True,False,regresiva,favorable,observacion,parcial,12 meses,1
13.6,Mestizo,F,entero,21.8,mediano,perdida de apetito,cirugia previa,False,7.7,cirugia previa,1,mama,8.83,irregular,dura,semi-fija,definidos,moderado,True,False,imagen,True,False,False,sospechoso,no realizado,adenoma,intermedio,9.0,severo,False,False,False,False,progresiva,favorable,cirugia,mala,3 meses,1
2.2,Pastor Alemán,F,esterilizado,29.3,mediano,sangrado local,ninguno,False,3.4,antibioticos,1,bazo,1.09,nodular,dura,fija,definidos,moderado,True,False,examen clinico,True,False,True,maligno,no realizado,mastocitoma,intermedio,,moderado,True,True,False,False,estable,reservado,paliativo,buena,3 meses,1
14.5,Beagle,M,entero,21.6,mediano,sangrado local,cirugia previa,False,6.1,antibioticos,2,cavidad oral,2.03,difusa,firme,movil,definidos,moderado,False,False,biopsia,True,False,True,benigno,benigno,linfoma,no aplica,15.0,severo,False,False,False,False,estable,desfavorable,quimioterapia,buena,1 mes,0
12.0,Labrador,F,esterilizado,34.4,pequeno,cojera,dermatitis,False,12.3,antibioticos,2,extremidad,8.25,irregular,firme,semi-fija,irregulares,rapido,False,False,imagen,False,True,False,no concluyente,inflamatorio,adenoma,no aplica,0.3,leve,False,False,False,False,regresiva,reservado,observacion,buena,12 meses,1
1.9,Boxer,F,esterilizado,30.3,pequeno,cojera,ninguno,False,4.4,cirugia previa,1,piel,2.34,irregular,firme,semi-fija,irregulares,rapido,False,False,imagen,True,False,False,benigno,no realizado,linfoma,no aplica,16.9,severo,True,False,False,False,progresiva,favorable,quimioterapia,parcial,1 mes,1
10.9,Beagle,M,entero,36.0,pequeno,cojera,endocrinopatia,True,11.7,antiinflamatorios,2,mama,7.37,irregular,firme,movil,infiltrativos,lento,True,False,citologia,True,False,True,benigno,maligno,adenoma,alto,14.2,moderado,False,True,False,True,progresiva,desfavorable,observacion,sin tratamiento,12 meses,1
10.2,Beagle,F,esterilizado,30.0,pequeno,masa palpable,obesidad,False,6.1,ninguno,2,bazo,8.21,nodular,blanda,semi-fija,infiltrativos,lento,True,False,biopsia,True,False,True,no concluyente,benigno,sarcoma,bajo,15.4,moderado,False,False,False,False,progresiva,reservado,observacion,parcial,12 meses,1
2.4,Labrador,M,esterilizado,7.1,grande,perdida de apetito,dermatitis,False,8.3,antibioticos,3,piel,3.87,difusa,dura,movil,irregulares,rapido,False,True,citologia,True,True,False,maligno,inflamatorio,adenoma,alto,10.3,no aplica,False,False,False,False,regresiva,desfavorable,observacion,,1 mes,1
14.0,Mestizo,F,entero,9.0,grande,masa palpable,ninguno,False,3.2,cirugia previa,2,cavidad oral,1.67,lobulada,dura,semi-fija,infiltrativos,rapido,True,True,citologia,False,True,True,no concluyente,no realizado,lipoma,,7.5,moderado,False,True,False,False,regresiva,desfavorable,cirugia+quimio,parcial,1 mes,1
12.5,Boxer,F,esterilizado,16.8,pequeno,chequeo general,obesidad,True,5.4,antiinflamatorios,2,extremidad,7.55,lobulada,blanda,semi-fija,infiltrativos,lento,False,False,examen clinico,False,False,False,no concluyente,inflamatorio,adenoma,no aplica,0.4,severo,True,False,False,False,progresiva,favorable,cirugia+quimio,sin tratamiento,3 meses,1
4.3,Boxer,M,entero,24.4,pequeno,sangrado local,endocrinopatia,True,10.9,antibioticos,3,bazo,7.39,irregular,blanda,movil,irregulares,lento,True,True,examen clinico,True,False,True,no concluyente,,sarcoma,alto,2.7,leve,False,False,False,False,progresiva,desfavorable,observacion,parcial,12 meses,1
13.8,Mestizo,F,esterilizado,27.4,grande,masa palpable,obesidad,False,8.1,antiinflamatorios,1,extremidad,4.44,irregular,blanda,semi-fija,definidos,moderado,False,True,citologia,True,False,False,sospechoso,inflamatorio,carcinoma,alto,7.0,severo,False,True,False,False,progresiva,favorable,paliativo,mala,6 meses,1
2.2,Beagle,M,esterilizado,16.0,grande,chequeo general,dermatitis,False,13.1,antibioticos,2,tejido subcutaneo,5.9,lobulada,blanda,fija,infiltrativos,rapido,False,False,examen clinico,True,True,True,maligno,inflamatorio,mastocitoma,intermedio,6.2,no aplica,True,False,True,False,estable,desfavorable,paliativo,sin tratamiento,6 meses,1
11.4,Mestizo,M,esterilizado,4.8,mediano,cojera,obesidad,False,10.6,cirugia previa,1,extremidad,2.38,difusa,blanda,semi-fija,infiltrativos,rapido,False,False,biopsia,False,True,True,sospechoso,maligno,linfoma,intermedio,15.7,leve,False,False,False,True,regresiva,favorable,quimioterapia,sin tratamiento,3 meses,1
4.3,French Bulldog,F,entero,20.4,mediano,sangrado local,cirugia previa,True,13.9,antibioticos,1,piel,3.07,nodular,dura,fija,irregulares,lento,True,False,imagen,True,True,False,no concluyente,benigno,adenoma,bajo,,moderado,False,False,False,True,progresiva,favorable,quimioterapia,sin tratamiento,1 mes,0
8.5,Mestizo,M,entero,33.2,mediano,chequeo general,ninguno,False,3.5,cirugia previa,1,bazo,6.11,lobulada,blanda,fija,infiltrativos,rapido,False,False,examen clinico,True,True,False,maligno,inflamatorio,sarcoma,bajo,6.4,leve,False,False,False,False,regresiva,reservado,cirugia,sin tratamiento,6 meses,1
11.4,Beagle,M,entero,5.7,mediano,masa palpable,cirugia previa,True,11.1,ninguno,1,cavidad oral,4.78,difusa,firme,movil,infiltrativos,lento,True,False,examen clinico,False,True,True,maligno,no realizado,lipoma,no aplica,16.1,no aplica,False,False,False,False,regresiva,reservado,observacion,mala,1 mes,1
5.9,Pastor Alemán,F,esterilizado,28.3,mediano,cojera,obesidad,False,0.8,antibioticos,2,tejido subcutaneo,2.69,nodular,blanda,fija,infiltrativos,moderado,False,False,citologia,False,True,False,no concluyente,benigno,mastocitoma,bajo,4.2,severo,False,False,True,True,progresiva,reservado,quimioterapia,mala,1 mes,0
2.7,Beagle,M,esterilizado,24.7,grande,masa palpable,cirugia previa,False,9.9,antiinflamatorios,2,cavidad oral,6.34,difusa,blanda,movil,definidos,lento,False,False,imagen,False,False,False,maligno,inflamatorio,sarcoma,bajo,9.9,severo,False,False,False,False,regresiva,favorable,quimioterapia,buena,1 mes,0
9.6,French Bulldog,M,entero,5.8,mediano,chequeo general,endocrinopatia,False,5.9,ninguno,1,cavidad oral,5.89,difusa,firme,fija,infiltrativos,moderado,True,False,citologia,False,True,False,benigno,benigno,linfoma,intermedio,5.5,moderado,False,False,False,False,progresiva,favorable,quimioterapia,buena,6 meses,1
15.1,Golden Retriever,M,esterilizado,38.4,grande,masa palpable,ninguno,True,13.3,antibioticos,3,mama,6.97,difusa,dura,fija,definidos,moderado,False,False,biopsia,True,False,False,maligno,no realizado,adenoma,bajo,2.8,no aplica,False,False,False,False,regresiva,reservado,quimioterapia,mala,3 meses,0
7.7,Golden Retriever,M,entero,15.2,mediano,sangrado local,obesidad,True,12.1,antiinflamatorios,1,extremidad,6.57,irregular,blanda,semi-fija,infiltrativos,moderado,False,False,examen clinico,True,True,True,sospechoso,maligno,linfoma,alto,0.9,severo,False,False,False,False,regresiva,favorable,observacion,mala,3 meses,0
9.6,Golden Retriever,F,esterilizado,6.1,grande,chequeo general,endocrinopatia,True,13.8,ninguno,1,piel,3.73,lobulada,dura,semi-fija,definidos,lento,False,False,examen clinico,True,True,True,no concluyente,,mastocitoma,intermedio,5.9,severo,True,False,False,False,progresiva,desfavorable,paliativo,mala,6 meses,0
5.6,Beagle,M,esterilizado,14.2,grande,sangrado local,endocrinopatia,True,0.9,cirugia previa,1,extremidad,5.77,difusa,blanda,fija,definidos,lento,False,False,citologia,True,True,True,sospechoso,no realizado,linfoma,no aplica,15.7,leve,False,False,False,False,progresiva,desfavorable,cirugia+quimio,parcial,3 meses,0
11.2,Boxer,F,esterilizado,11.1,pequeno,perdida de apetito,endocrinopatia,True,13.2,antibioticos,1,bazo,2.1,difusa,firme,semi-fija,irregulares,rapido,False,False,biopsia,True,False,False,no concluyente,inflamatorio,mastocitoma,alto,,leve,False,False,False,False,estable,desfavorable,quimioterapia,parcial,3 meses,1
4.4,Golden Retriever,M,entero,20.4,grande,chequeo general,ninguno,False,2.1,antiinflamatorios,2,bazo,8.43,difusa,firme,fija,definidos,moderado,False,False,examen clinico,True,True,False,benigno,maligno,lipoma,intermedio,16.8,leve,False,False,False,False,progresiva,favorable,observacion,parcial,1 mes,0
14.3,Golden Retriever,F,esterilizado,11.1,pequeno,perdida de apetito,dermatitis,False,9.1,antiinflamatorios,1,bazo,3.23,lobulada,dura,fija,definidos,lento,False,False,imagen,False,True,True,benigno,maligno,mastocitoma,,5.8,moderado,True,False,False,False,progresiva,reservado,paliativo,sin tratamiento,6 meses,0
7.1,Mestizo,F,entero,29.8,mediano,perdida de apetito,endocrinopatia,True,13.4,cirugia previa,1,tejido subcutaneo,6.81,lobulada,firme,fija,infiltrativos,moderado,False,False,citologia,False,False,False,benigno,no realizado,linfoma,alto,1.4,leve,True,False,False,False,estable,favorable,quimioterapia,mala,1 mes,0
1.8,Golden Retriever,F,esterilizado,26.7,grande,chequeo general,cirugia previa,False,5.7,ninguno,3,mama,5.33,nodular,firme,semi-fija,infiltrativos,lento,False,True,examen clinico,False,True,True,sospechoso,maligno,sarcoma,no aplica,6.7,no aplica,False,False,False,True,regresiva,desfavorable,cirugia,parcial,1 mes,1
1.1,Labrador,F,esterilizado,31.3,grande,chequeo general,endocrinopatia,False,3.4,cirugia previa,1,mama,2.7,nodular,blanda,fija,irregulares,rapido,False,False,examen clinico,True,True,False,no concluyente,benigno,mastocitoma,bajo,7.2,moderado,False,False,False,True,progresiva,favorable,paliativo,parcial,6 meses,1
5.1,Mestizo,M,esterilizado,26.3,pequeno,perdida de apetito,obesidad,False,4.6,cirugia previa,2,mama,2.91,irregular,dura,semi-fija,definidos,lento,False,False,imagen,False,False,False,sospechoso,no realizado,mastocitoma,alto,3.7,leve,False,False,True,False,estable,favorable,quimioterapia,mala,1 mes,0
8.2,Boxer,F,esterilizado,43.2,pequeno,cojera,dermatitis,False,1.8,cirugia previa,1,bazo,5.56,irregular,firme,movil,infiltrativos,moderado,False,False,biopsia,True,True,False,no concluyente,benigno,sarcoma,no aplica,13.7,severo,False,False,False,False,estable,desfavorable,cirugia,sin tratamiento,6 meses,1
4.5,Mestizo,M,esterilizado,26.1,grande,perdida de apetito,cirugia previa,False,6.9,cirugia previa,2,mama,6.68,lobulada,blanda,movil,infiltrativos,rapido,False,False,examen clinico,True,False,True,benigno,benigno,lipoma,intermedio,,moderado,True,True,True,False,estable,desfavorable,paliativo,mala,12 meses,1
9.0,Pastor Alemán,M,esterilizado,36.9,pequeno,masa palpable,ninguno,False,3.5,antibioticos,1,cavidad oral,7.22,nodular,firme,semi-fija,irregulares,rapido,True,False,biopsia,True,False,False,benigno,benigno,lipoma,no aplica,6.8,no aplica,True,True,True,False,progresiva,desfavorable,quimioterapia,sin tratamiento,1 mes,1
14.9,Beagle,F,entero,10.5,mediano,masa palpable,dermatitis,False,10.6,cirugia previa,1,cavidad oral,1.71,irregular,dura,semi-fija,infiltrativos,rapido,False,False,citologia,False,False,True,maligno,benigno,adenoma,no aplica,4.2,leve,False,False,False,False,progresiva,favorable,quimioterapia,mala,12 meses,1
6.7,Boxer,F,entero,33.0,pequeno,perdida de apetito,dermatitis,False,11.0,antiinflamatorios,3,tejido subcutaneo,3.06,nodular,blanda,movil,irregulares,moderado,False,False,citologia,True,True,False,no concluyente,benigno,adenoma,bajo,6.4,leve,False,False,False,True,progresiva,reservado,observacion,buena,3 meses,0
3.5,Pastor Alemán,F,esterilizado,23.3,pequeno,perdida de apetito,cirugia previa,False,10.1,cirugia previa,2,extremidad,2.0,nodular,blanda,semi-fija,definidos,moderado,False,False,biopsia,True,True,False,sospechoso,inflamatorio,carcinoma,intermedio,8.6,moderado,False,False,False,False,progresiva,desfavorable,cirugia,parcial,12 meses,0
16.0,Golden Retriever,M,esterilizado,42.6,pequeno,chequeo general,cirugia previa,False,1.2,cirugia previa,3,tejido subcutaneo,1.51,lobulada,blanda,semi-fija,infiltrativos,lento,False,False,examen clinico,True,False,False,no concluyente,benigno,carcinoma,bajo,2.0,moderado,False,False,False,True,regresiva,desfavorable,cirugia+quimio,parcial,12 meses,1
11.3,Golden Retriever,F,esterilizado,19.4,grande,sangrado local,endocrinopatia,True,14.0,cirugia previa,1,cavidad oral,3.92,nodular,blanda,fija,definidos,moderado,False,False,citologia,True,True,True,no concluyente,inflamatorio,adenoma,alto,0.8,leve,True,False,True,False,regresiva,favorable,paliativo,buena,3 meses,0
3.8,Beagle,F,esterilizado,4.2,grande,cojera,obesidad,False,5.6,antiinflamatorios,1,cavidad oral,6.85,nodular,dura,movil,infiltrativos,lento,False,True,examen clinico,True,False,False,maligno,no realizado,linfoma,no aplica,10.6,severo,False,False,True,False,progresiva,desfavorable,paliativo,sin tratamiento,3 meses,1
6.8,Mestizo,M,esterilizado,20.8,mediano,sangrado local,dermatitis,False,7.0,antiinflamatorios,1,cavidad oral,7.63,nodular,firme,movil,irregulares,lento,True,False,imagen,True,True,False,no concluyente,no realizado,mastocitoma,bajo,10.2,moderado,False,False,False,True,progresiva,desfavorable,cirugia+quimio,sin tratamiento,1 mes,1
12.4,French Bulldog,M,esterilizado,7.3,grande,cojera,cirugia previa,False,0.6,antibioticos,1,piel,4.12,nodular,blanda,movil,infiltrativos,rapido,False,False,imagen,True,True,True,sospechoso,benigno,linfoma,alto,9.6,moderado,False,False,False,False,regresiva,desfavorable,observacion,buena,12 meses,1
4.7,Beagle,F,entero,35.0,grande,chequeo general,obesidad,True,8.9,cirugia previa,2,tejido subcutaneo,0.96,nodular,firme,fija,infiltrativos,moderado,False,False,imagen,False,True,True,benigno,no realizado,sarcoma,alto,,no aplica,True,False,True,False,progresiva,reservado,paliativo,buena,12 meses,0
13.6,Labrador,M,entero,21.5,pequeno,chequeo general,dermatitis,False,12.7,antibioticos,1,cavidad oral,1.11,lobulada,firme,movil,irregulares,rapido,False,True,imagen,True,False,False,no concluyente,benigno,sarcoma,bajo,0.0,no aplica,True,False,False,False,estable,desfavorable,quimioterapia,sin tratamiento,12 meses,1
2.5,Pastor Alemán,F,entero,19.1,pequeno,cojera,ninguno,False,0.3,antiinflamatorios,2,cavidad oral,6.59,irregular,firme,fija,infiltrativos,moderado,False,True,examen clinico,True,True,False,maligno,no realizado,carcinoma,,4.5,leve,True,False,False,False,regresiva,favorable,quimioterapia,buena,3 meses,1
8.4,Labrador,M,esterilizado,29.8,pequeno,sangrado local,ninguno,False,13.1,antiinflamatorios,2,extremidad,3.96,irregular,firme,movil,definidos,rapido,True,False,examen clinico,False,False,True,maligno,no realizado,lipoma,no aplica,1.5,moderado,True,False,False,True,estable,desfavorable,quimioterapia,mala,1 mes,1
14.9,Labrador,F,entero,16.0,grande,cojera,ninguno,True,2.1,ninguno,1,tejido subcutaneo,8.59,lobulada,blanda,semi-fija,definidos,rapido,False,False,examen clinico,False,True,False,maligno,benigno,carcinoma,bajo,8.9,severo,True,False,True,True,estable,desfavorable,observacion,buena,1 mes,1
3.3,Boxer,M,esterilizado,12.4,pequeno,chequeo general,cirugia previa,True,1.3,antibioticos,1,extremidad,6.16,nodular,blanda,movil,infiltrativos,lento,False,True,imagen,False,False,True,benigno,no realizado,adenoma,alto,3.6,severo,False,False,False,False,estable,desfavorable,paliativo,buena,3 meses,1
14.2,Pastor Alemán,M,esterilizado,38.7,grande,perdida de apetito,ninguno,True,13.8,cirugia previa,2,piel,8.76,irregular,dura,semi-fija,definidos,lento,False,False,imagen,False,True,False,benigno,benigno,linfoma,intermedio,11.5,no aplica,True,False,False,False,estable,reservado,quimioterapia,parcial,12 meses,0
4.0,Boxer,M,entero,7.4,mediano,chequeo general,cirugia previa,False,7.6,antiinflamatorios,2,cavidad oral,4.33,nodular,blanda,movil,infiltrativos,moderado,False,False,examen clinico,True,False,True,sospechoso,inflamatorio,lipoma,bajo,,severo,False,True,False,False,regresiva,desfavorable,paliativo,buena,1 mes,1
15.7,Golden Retriever,M,esterilizado,18.6,grande,masa palpable,endocrinopatia,False,12.9,ninguno,1,piel,2.02,difusa,blanda,movil,irregulares,lento,True,False,citologia,False,True,False,no concluyente,benigno,lipoma,no aplica,3.1,moderado,False,False,False,True,regresiva,desfavorable,paliativo,buena,6 meses,0
7.3,Beagle,M,entero,44.6,grande,perdida de apetito,obesidad,False,6.9,antibioticos,2,cavidad oral,1.86,lobulada,dura,movil,definidos,moderado,True,False,biopsia,False,False,False,benigno,maligno,sarcoma,intermedio,4.8,leve,False,False,False,False,progresiva,reservado,cirugia,,3 meses,0
11.5,Mestizo,M,entero,38.1,mediano,sangrado local,cirugia previa,True,0.7,ninguno,1,extremidad,2.2,difusa,blanda,semi-fija,infiltrativos,lento,False,False,citologia,False,False,True,benigno,maligno,linfoma,intermedio,13.9,severo,False,False,False,False,estable,reservado,quimioterapia,parcial,3 meses,0
5.8,Beagle,F,entero,31.0,pequeno,chequeo general,cirugia previa,False,4.3,antiinflamatorios,3,piel,8.55,difusa,dura,movil,definidos,rapido,False,False,citologia,True,True,True,maligno,benigno,mastocitoma,alto,17.7,moderado,False,False,False,False,regresiva,reservado,cirugia+quimio,sin tratamiento,6 meses,1
1.7,French Bulldog,F,entero,40.2,mediano,chequeo general,cirugia previa,False,1.6,cirugia previa,2,bazo,6.9,irregular,blanda,semi-fija,definidos,lento,True,False,examen clinico,True,True,True,benigno,benigno,carcinoma,no aplica,12.7,no aplica,False,True,False,True,estable,reservado,cirugia,buena,12 meses,0
4.6,Labrador,F,esterilizado,9.5,mediano,masa palpable,obesidad,True,11.6,cirugia previa,1,piel,0.52,irregular,dura,semi-fija,definidos,moderado,False,False,imagen,True,False,True,no concluyente,maligno,carcinoma,no aplica,6.6,no aplica,True,False,False,False,regresiva,favorable,cirugia,sin tratamiento,1 mes,0
1.9,French Bulldog,F,esterilizado,27.1,pequeno,chequeo general,cirugia previa,True,12.7,ninguno,2,extremidad,8.13,irregular,blanda,semi-fija,definidos,lento,False,False,citologia,True,True,False,sospechoso,maligno,linfoma,alto,5.8,leve,True,False,False,False,regresiva,reservado,observacion,mala,1 mes,1
14.9,Mestizo,M,esterilizado,39.4,mediano,chequeo general,cirugia previa,False,6.9,cirugia previa,1,mama,2.7,irregular,dura,fija,infiltrativos,rapido,False,False,biopsia,True,True,True,maligno,inflamatorio,adenoma,alto,14.7,severo,False,False,False,False,estable,favorable,quimioterapia,mala,6 meses,1
13.4,Beagle,F,esterilizado,37.5,grande,cojera,ninguno,True,7.2,antiinflamatorios,2,extremidad,0.55,irregular,blanda,movil,definidos,lento,False,False,citologia,True,False,False,benigno,benigno,mastocitoma,alto,8.8,no aplica,True,False,False,False,estable,reservado,observacion,parcial,1 mes,1
10.7,Beagle,M,esterilizado,30.4,grande,masa palpable,ninguno,False,2.0,antiinflamatorios,2,piel,2.25,lobulada,dura,fija,infiltrativos,moderado,False,False,biopsia,True,True,True,no concluyente,benigno,adenoma,alto,,severo,False,True,True,False,regresiva,reservado,quimioterapia,parcial,6 meses,1
13.2,French Bulldog,F,entero,33.3,grande,chequeo general,cirugia previa,True,6.0,cirugia previa,3,piel,5.37,irregular,firme,fija,infiltrativos,lento,False,False,imagen,False,False,False,sospechoso,maligno,carcinoma,bajo,8.5,severo,False,False,False,False,progresiva,desfavorable,observacion,buena,6 meses,1
9.8,French Bulldog,M,esterilizado,5.3,grande,sangrado local,endocrinopatia,False,1.2,antiinflamatorios,2,piel,7.85,difusa,dura,semi-fija,irregulares,lento,False,True,citologia,True,False,False,no concluyente,maligno,carcinoma,intermedio,14.0,no aplica,False,False,False,True,progresiva,reservado,cirugia,buena,3 meses,1
7.1,French Bulldog,F,entero,4.6,pequeno,perdida de apetito,ninguno,False,10.6,antiinflamatorios,1,bazo,0.34,irregular,blanda,fija,irregulares,moderado,True,False,biopsia,True,False,True,maligno,,sarcoma,alto,7.8,moderado,False,False,False,True,progresiva,favorable,cirugia,buena,3 meses,1
12.9,French Bulldog,F,entero,27.9,pequeno,masa palpable,ninguno,True,1.8,cirugia previa,2,piel,5.06,difusa,dura,movil,definidos,rapido,False,True,imagen,True,False,True,sospechoso,no realizado,adenoma,bajo,5.1,leve,False,False,False,False,estable,reservado,cirugia+quimio,parcial,3 meses,1
